,,track_id,artist,artist_id,album,trackName,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,popularity,category_id
The Sound of Pop,13,2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,Speak Your Mind (Deluxe),2002,0.0372,0.697,186987,0.683,0.0,1,0.137,-2.881,0,0.117,96.133,4,0.603,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",83.0,pop
The Sound of Pop,14,5KCbr5ndeby4y4ggthdiAb,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Wonder,Wonder,0.131,0.333,172693,0.637,1.8e-05,1,0.149,-4.904,0,0.0581,139.898,4,0.132,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",92.0,pop
The Sound of Pop,15,6FZDfxM3a3UCqtzo5pxSLZ,Halsey,26VFTg2z8YR0cCuwLzESi2,Manic,Without Me,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.533,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop']",91.0,pop
The Sound of Pop,16,4PV0uE5pZSh44E3NqNNDEH,Madison Beer,2kRfqPViCqYdSGhYSM9R0Q,Selfish,Selfish,0.627,0.378,223270,0.461,0.0,9,0.386,-6.202,1,0.0275,75.363,4,0.232,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']",83.0,pop
The Sound of Pop,17,76Tuo484SLohJakHLnGI3B,Little Mix,3e7awlrlDSwF3iM0WBjGMp,Confetti,Sweet Melody,0.0739,0.448,213693,0.824,0.0,5,0.113,-4.249,0,0.057,119.965,4,0.419,"['dance pop', 'girl group', 'pop', 'pop dance', 'post-teen pop', 'talent show', 'uk pop']",87.0,pop
The Sound of Pop,18,2YlZnw2ikdb837oKMKjBkW,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,Title (Deluxe),Like I'm Gonna Lose You (feat. John Legend),0.4,0.63,225053,0.53,0.0,0,0.177,-7.259,1,0.0434,108.038,3,0.417,"['dance pop', 'hip pop', 'pop', 'pop dance', 'post-teen pop']",82.0,pop
The Sound of Pop,19,76hfruVvmfQbw0eYn1nmeC,DNCE,6T5tfhQCknKG4UnH90qGnz,DNCE,Cake By The Ocean,0.152,0.774,219147,0.753,0.0,4,0.0371,-5.446,0,0.0517,119.002,4,0.896,"['dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",72.0,pop
The Sound of Pop,20,3afkJSKX0EAMsJXTZnDXXJ,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,Strawberries & Cigarettes,Strawberries & Cigarettes,0.162,0.578,201539,0.537,0.0,9,0.076,-8.676,1,0.0832,83.909,4,0.25,"['australian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'viral pop']",81.0,pop
The Sound of Pop,21,1rW6UUZRQWW34j4zCQDkfX,Jessie J,2gsggkzM5R49q6jpPvazou,Sweet Talker,Bang Bang,0.315,0.706,199373,0.783,0.0,0,0.373,-3.441,0,0.1,150.045,4,0.739,"['dance pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']",77.0,pop
The Sound of Pop,22,5Fla3zyOCcIRqrDoKLU0DP,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Phoenix (Deluxe Edition),Let You Love Me,0.275,0.475,191120,0.846,0.0,10,0.0824,-3.344,1,0.283,96.036,4,0.451,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'tropical house', 'uk pop']",79.0,pop
The Sound of Pop,23,14OxJlLdcHNpgsm4DRwDOB,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,Queen Of The Clouds,Habits (Stay High),0.0702,0.729,209160,0.65,6.69e-05,5,0.0829,-3.539,1,0.0313,110.02,4,0.347,"['dance pop', 'electropop', 'metropopolis', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",80.0,pop
The Sound of Pop,24,3lSDIJ2abCrOdDJ6pshUap,Nick Jonas,4Rxn7Im3LGfyRkY2FlHhWi,Last Year Was Complicated,Close,0.253,0.654,234213,0.623,0.0,6,0.144,-5.273,0,0.082,123.996,4,0.401,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'viral pop']",71.0,pop
The Sound of Pop,25,22vgEDb5hykfaTwLuskFGD,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Happiness Begins,Sucker,0.0427,0.842,181027,0.734,0.0,1,0.106,-5.065,0,0.0588,137.958,4,0.952,"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",83.0,pop
The Sound of Pop,26,27u7t9d7ZQoyjsCROHuZJ3,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Tick Tock (feat. 24kGoldn),Tick Tock (feat. 24kGoldn),0.369,0.779,178374,0.705,7.91e-06,0,0.124,-3.895,1,0.0344,101.022,4,0.946,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",83.0,pop
The Sound of Pop,27,4a6q8CR2hzLk2plDkSxkfD,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,Soul Searching,I.F.L.Y.,0.379,0.812,165714,0.519,0.0,2,0.13,-4.823,1,0.0385,104.954,4,0.554,"['electropop', 'pop', 'post-teen pop']",82.0,pop
The Sound of Pop,28,7rpNuuoMbid56XkDsx2FjE,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,Heartbreak Weather,Black And White,0.0301,0.443,193090,0.582,0.0,2,0.127,-6.02,1,0.0482,147.589,4,0.239,"['dance pop', 'pop', 'post-teen pop']",83.0,pop
The Sound of Pop,29,6ATgDc6e4sPn84hvJsAmPt,Olivia O'Brien,1QRj3hoop9Mv5VvHQkwPEp,hate u love u,hate u love u,0.656,0.407,175467,0.416,0.0,6,0.0981,-8.915,0,0.174,176.947,4,0.246,"['dance pop', 'electropop', 'pop', 'post-teen pop']",78.0,pop
The Sound of Pop,30,0HPD5WQqrq7wPWR7P7Dw1i,Kesha,6LqNN22kT3074XbTVUrhzX,Animal (Expanded Edition),TiK ToK,0.0991,0.755,199693,0.837,0.0,2,0.289,-2.718,0,0.142,120.028,4,0.714,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']",81.0,pop
The Sound of Pop,31,6VrLYoQKdhu1Jruei06t65,The Vamps,7gAppWoH7pcYmphCVTXkzs,Meet The Vamps,Somebody To You,0.0587,0.526,185098,0.818,0.0,3,0.333,-5.952,1,0.0358,171.96,4,0.896,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78.0,pop
The Sound of Pop,32,5Z0AM9HW78XIyZqF2BPasr,FLETCHER,5qa31A9HySw3T7MKWI9bGg,Bitter,Bitter,0.393,0.724,194750,0.594,0.00116,6,0.0889,-7.126,0,0.102,136.002,4,0.413,"['dance pop', 'electropop', 'indie cafe pop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop', 'social media pop']",74.0,pop
The Sound of Pop,33,09IStsImFySgyp0pIQdqAc,Zedd,2qxJFvFYMEDqd7ui6kSAcq,The Middle,The Middle,0.171,0.753,184732,0.657,0.0,7,0.112,-3.061,1,0.0449,107.01,4,0.437,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'post-teen pop', 'tropical house']",83.0,pop
The Sound of Pop,34,0laYHRpNTS6i8FXdupHkJ4,Selena Gomez & The Scene,6dJeKm76NjfXBNTpHmOhfO,When The Sun Goes Down,Love You Like A Love Song,0.0761,0.858,188453,0.678,0.0,1,0.0741,-3.87,0,0.0469,117.009,4,0.922,"['dance pop', 'electropop', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'viral pop']",71.0,pop
The Sound of Pop,35,0gJvqi9QyASOCtJu99tytc,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,Breakaway,Because of You,0.248,0.587,219493,0.583,0.0,5,0.124,-5.284,0,0.0313,139.92,4,0.15,"['dance pop', 'neo mellow', 'pop', 'pop dance', 'pop rock', 'post-teen pop', 'talent show']",82.0,pop
The Sound of Pop,36,6J2LdBN97cDWn0MLxYh9HB,Noah Cyrus,55fhWPvDiMpLnE4ZzNXZyW,THE END OF EVERYTHING,July,0.868,0.708,156106,0.186,0.0,9,0.0779,-8.953,0,0.042,72.541,4,0.322,"['dance pop', 'pop', 'post-teen pop']",80.0,pop
The Sound of Pop,37,26wLOs3ZuHJa2Ihhx6QIE6,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,13 Reasons Why (Season 3),Teeth,0.0516,0.749,204887,0.461,6.24e-06,10,0.0738,-2.961,0,0.0416,139.02,4,0.42,"['boy band', 'dance pop', 'pop', 'post-teen pop']",85.0,pop
The Sound of Pop,38,29JrmE89KgRyCxBIzq2Ocw,Liam Payne,5pUo3fmmHT8bhCyHE52hA6,LP1,Strip That Down (feat. Quavo),0.199,0.873,202062,0.495,0.0,6,0.0805,-5.446,1,0.0518,106.033,4,0.546,"['dance pop', 'pop', 'post-teen pop']",78.0,pop
The Sound of Pop,39,68EMU2RD1ECNeOeJ5qAXCV,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Nine Track Mind,We Don't Talk Anymore (feat. Selena Gomez),0.621,0.728,217707,0.563,0.0,1,0.179,-8.053,0,0.134,100.017,4,0.352,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",84.0,pop
The Sound of Pop,40,5GhJIMWAw0uMLgkdbt6uMz,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,Fallin’ (Adrenaline),Fallin’ (Adrenaline),0.0101,0.606,216504,0.9,0.0,0,0.075,-4.504,1,0.119,133.963,4,0.233,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'teen pop']",80.0,pop
The Sound of Pop,41,6sI8Q7TTJeA9exw6hxEqq3,MAX,1bqxdqvUtPWZri43cKHac8,Colour Vision,Blueberry Eyes (feat. SUGA of BTS),0.454,0.746,172245,0.611,0.000922,0,0.133,-7.034,0,0.101,149.967,4,0.411,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",81.0,pop
The Sound of Pop,42,49dFIRQCQxPWgoH0m38XQ5,Lennon Stella,1cZQSpDsxgKIX2yW5OR9Ot,Summer Feelings (feat. Charlie Puth),Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,0.262,0.696,160289,0.686,0.0,5,0.174,-6.113,0,0.0309,115.982,4,0.7,"['canadian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']",77.0,pop
The Sound of Pop,43,1YlulsUKDduOmC7WxvXYPW,Ruel,5xkAtLTf309LAGZTbvULBn,Free Time,Painkiller,0.0875,0.683,213507,0.42,0.0,5,0.225,-6.51,1,0.0542,128.621,4,0.469,"['australian alternative pop', 'electropop', 'pop', 'post-teen pop']",78.0,pop
The Sound of Pop,44,3W3KtDwAIg3mAruSpnfG3Q,Iggy Azalea,5yG7ZAZafVaAlMTeBybKAL,The New Classic (Deluxe Version),Fancy,0.0904,0.912,199938,0.716,0.0,10,0.0491,-4.141,0,0.0697,94.981,4,0.377,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']",76.0,pop
The Sound of Pop,45,2P91MQbaiQOfbiz9VqhqKQ,Lauv,5JZ7CnR6gTvEMKX4g70Amv,I met you when I was 18. (the playlist),I Like Me Better,0.535,0.752,197437,0.505,2.55e-06,9,0.104,-7.621,1,0.253,91.97,4,0.419,"['electropop', 'pop', 'post-teen pop']",87.0,pop
The Sound of Pop,46,45bE4HXI0AwGZXfZtMp8JR,Tate McRae,45dkTj5sMRSjrmBSBeiHym,you broke me first,you broke me first,0.786,0.642,169266,0.374,0.0,4,0.0906,-9.386,1,0.0545,124.099,4,0.0799,"['electropop', 'pop', 'post-teen pop']",85.0,pop
The Sound of Pop,47,6FE2iI43OZnszFLuLtvvmg,MKTO,2l35CQqtYRh3d8ZIiBep4v,MKTO,Classic,0.0384,0.72,175427,0.791,0.0,1,0.157,-4.689,1,0.124,102.071,4,0.756,"['dance pop', 'electropop', 'pop', 'pop rap', 'pop rock', 'post-teen pop']",74.0,pop
The Sound of Pop,48,5FNS5Vj69AhRGJWjhrAd01,AJ Mitchell,6dn6x1XOng3LOAnfTjUn77,Slow Dance,Slow Dance,0.214,0.692,178800,0.443,0.0,1,0.06,-5.671,1,0.0386,127.899,4,0.363,"['electropop', 'indie cafe pop', 'pop', 'post-teen pop', 'social media pop']",74.0,pop
The Sound of Pop,49,367wyLNqQMr5e8S2E6Zvpp,Katy Perry,6jJ0s89eD6GaHleKKya26X,Smile,Daisies,0.0825,0.642,174313,0.546,0.0,1,0.0989,-5.377,1,0.0407,122.165,4,0.142,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",88.0,pop
The Sound of Pop,50,0roOLcll6SSTYZwsQFmXqP,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,Let Me Move You (From the Netflix film Work It),Let Me Move You - From the Netflix film Work It,0.0112,0.624,147071,0.628,0.0191,4,0.0814,-6.582,0,0.0408,114.556,4,0.772,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'viral pop']",79.0,pop
The Sound of Pop,51,2DpCdPMg1BADE4HDnxt3Rd,Daya,6Dd3NScHWwnW6obMFbl1BH,"Sit Still, Look Pretty","Sit Still, Look Pretty",0.122,0.655,202227,0.787,3.11e-06,2,0.178,-3.031,1,0.264,181.799,4,0.554,"['dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'viral pop']",76.0,pop
The Sound of Pop,52,3je88Q4OvTqIx7BFRFYvRA,PRETTYMUCH,5Y8eJDj37KhaEeqbVO7Ag1,Phases,Phases,0.169,0.77,215760,0.636,0.0,11,0.0676,-6.724,0,0.131,105.93,4,0.492,"['boy band', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'social media pop']",71.0,pop
The Sound of Pop,53,2y8iBf0QRqCKFtePi9Rl2H,Charlotte Lawrence,7LImGq5KnzQobZciDJpeJb,Why Do You Love Me,Why Do You Love Me,0.28,0.81,171908,0.305,0.000116,8,0.203,-6.165,0,0.0902,120.013,4,0.732,"['dance pop', 'electropop', 'indie cafe pop', 'indie poptimism', 'pop', 'post-teen pop', 'social media pop']",70.0,pop
The Sound of Pop,54,1hJIbOjWpid6LtnozHmzRS,Sam Smith,2wY79sveU1sp5g7SokKOiI,Love Goes,Diamonds,0.161,0.637,213869,0.666,0.0,10,0.108,-6.773,0,0.0494,104.02,4,0.529,"['pop', 'uk pop']",92.0,pop
The Sound of Pop,55,1TQXIltqoZ5XXyfCbAeSQQ,Sasha Sloan,4xnihxcoXWK3UqryOSnbw5,Dancing With Your Ghost,Dancing With Your Ghost,0.761,0.629,197732,0.327,2.96e-05,11,0.103,-8.285,1,0.029,74.953,4,0.381,"['electropop', 'indie cafe pop', 'pop', 'post-teen pop']",79.0,pop
The Sound of Pop,56,6lanRgr6wXibZr8KgzXxBl,Christina Perri,7H55rcKCfwqkyDFH9wpKM6,A Thousand Years,A Thousand Years,0.309,0.421,285120,0.407,0.000961,10,0.11,-7.445,1,0.0267,139.028,3,0.161,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",77.0,pop
The Sound of Pop,57,20I6sIOMTCkB6w7ryavxtO,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Kiss,Call Me Maybe,0.0114,0.783,193400,0.58,2.28e-06,7,0.108,-6.548,1,0.0408,120.021,4,0.66,"['canadian pop', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop']",76.0,pop
The Sound of Pop,58,1louJpMmzEicAn7lzDalPW,Cheat Codes,7DMveApC7UnC2NPfPvlHSU,No Promises (feat. Demi Lovato),No Promises (feat. Demi Lovato),0.0575,0.741,223504,0.667,0.0,10,0.106,-5.445,1,0.134,112.956,4,0.595,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'pop rap', 'post-teen pop', 'tropical house']",79.0,pop
The Sound of Pop,59,35mvY5S1H3J2QZyna3TFe0,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Positions,positions,0.468,0.737,172325,0.802,0.0,0,0.0931,-4.771,1,0.0878,144.015,4,0.682,"['pop', 'post-teen pop']",100.0,pop
The Sound of Pop,60,4y4spB9m0Q6026KfkAvy9Q,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Lonely (with benny blanco),Lonely (with benny blanco),0.864,0.631,149297,0.239,0.0,11,0.116,-7.071,0,0.0398,79.859,4,0.0927,"['canadian pop', 'pop', 'post-teen pop']",97.0,pop
The Sound of Pop,61,72Bz4ciRZPBcVSw0nrZDHi,Pia Mia,1BhWF9W2PngtPSyobKg0rP,Do It Again,Do It Again,0.0266,0.712,207747,0.564,0.0,8,0.0874,-6.527,1,0.047,95.95,4,0.411,"['dance pop', 'pop', 'pop dance', 'pop r&b', 'post-teen pop', 'r&b', 'social media pop', 'urban contemporary']",69.0,pop
The Sound of Pop,62,55Am8neGJkdj2ADaM3aw5H,James Arthur,4IWBUUAFIplrNtaOHcJPRM,Back from the Edge,Train Wreck,0.701,0.311,208827,0.485,0.0,6,0.0726,-5.726,0,0.0365,77.355,4,0.225,"['pop', 'talent show', 'uk pop']",88.0,pop
The Sound of Pop,63,6s8nHXTJVqFjXE4yVZPDHR,Olly Murs,3whuHq0yGx60atvA2RCVRW,Right Place Right Time (Expanded Edition),Troublemaker (feat. Flo Rida),0.015,0.762,185587,0.863,0.0,0,0.125,-3.689,0,0.0561,106.012,4,0.965,"['dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop', 'talent show', 'tropical house', 'uk pop']",71.0,pop
The Sound of Pop,64,3wN7Spu4tWhefB3LooMLys,JoJo,5xuNBZoM7z1Vv8IQ6uM0p6,good to know,Comeback (feat. Tory Lanez and 30 Roc),0.0932,0.616,175252,0.537,0.000157,8,0.107,-7.719,0,0.139,122.65,4,0.465,"['dance pop', 'hip pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",69.0,pop
The Sound of Pop,65,0zMzyHAeMvwq5CRstru1Fp,Ruth B.,2WzaAvm2bBCf4pEhyuDgCY,Safe Haven,Lost Boy,0.963,0.586,276067,0.128,0.0,7,0.0858,-9.297,1,0.0496,123.498,4,0.371,"['canadian contemporary r&b', 'canadian pop', 'indie cafe pop', 'pop', 'post-teen pop', 'viral pop']",73.0,pop
The Sound of Pop,66,7EGhmltmWJHCHobd3g8Hnw,Jordin Sparks,2AQjGvtT0pFYfxR3neFcvz,Jordin Sparks,No Air (feat. Chris Brown),0.0521,0.466,264373,0.759,0.0,8,0.0587,-4.978,0,0.199,160.033,4,0.328,"['dance pop', 'neo mellow', 'pop', 'pop dance', 'pop rap', 'pop rock', 'post-teen pop', 'r&b', 'urban contemporary', 'viral pop']",69.0,pop
The Sound of Pop,67,3Q4WeJmzxuDpzMu9QjQqbM,Fergie,3r17AfJCCUqC9Lf0OAc73G,The Dutchess,Big Girls Don't Cry (Personal),0.205,0.708,268120,0.641,0.0,7,0.0945,-4.296,1,0.0335,113.082,4,0.253,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'urban contemporary']",74.0,pop
The Sound of Pop,68,4YwIOEhqg57IX2QasbetBi,Astrid S,3AVfmawzu83sp94QW7CEGm,Leave It Beautiful,It's Ok If You Forget Me,0.526,0.562,204989,0.379,0.0,6,0.151,-7.625,1,0.231,171.848,4,0.258,"['dance pop', 'electropop', 'norwegian pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",77.0,pop
The Sound of Pop,69,4r1CoAATVuxag55Ct3Y1aX,Jess Glynne,4ScCswdRlyA23odg9thgIO,Always in Between (Deluxe),I'll Be There,0.0288,0.627,194387,0.858,0.0,7,0.199,-3.116,1,0.0394,100.074,4,0.399,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",79.0,pop
The Sound of Pop,70,7BFI9QZPQKgYuR2HhDgwbG,Lorde,163tK9Wjr9P9DmM0AVK7lm,Pure Heroine (Extended),Royals,0.121,0.674,190185,0.428,0.0,7,0.132,-9.504,1,0.122,84.878,4,0.337,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'pop dance', 'post-teen pop']",81.0,pop
The Sound of Pop,71,5Z3zRrMIJk7CVpfcLsM9wD,Years & Years,5vBSrE1xujD2FXYRarbAXc,Communion (Deluxe),King,0.0594,0.56,215360,0.857,0.0,4,0.381,-4.145,0,0.0384,119.975,4,0.432,"['dance pop', 'edm', 'electropop', 'gauze pop', 'pop', 'pop dance', 'tropical house']",72.0,pop
The Sound of Pop,72,5nujrmhLynf4yMoMtj8AQF,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Future Nostalgia,Levitating (feat. DaBaby),0.00883,0.702,203064,0.825,0.0,6,0.0674,-3.787,0,0.0601,102.977,4,0.915,"['dance pop', 'pop', 'pop dance', 'uk pop']",94.0,pop
The Sound of Pop,73,5WHTFyqSii0lmT9R21abT8,Mabel,1MIVXf74SZHmTIp4V4paH4,Ivy To Roses (Mixtape),Don't Call Me Up,0.296,0.674,178480,0.881,3.01e-06,9,0.0793,-2.853,1,0.147,98.994,4,0.234,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house']",82.0,pop
The Sound of Pop,74,7FjZU7XFs7P9jHI9Z0yRhK,NOTD,5jAMCwdNHWr7JThxtMuEyy,So Close (feat. Georgia Ku),So Close,0.121,0.7,190302,0.872,7.08e-06,10,0.103,-5.896,1,0.0666,125.03,4,0.761,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'post-teen pop', 'tropical house']",75.0,pop
The Sound of Pop,75,5InWRmnfgjVwQWoXHNBATu,Cher Lloyd,4m4SfDVbF5wxrwEjDKgi4k,Sticks & Stones,Want U Back,0.0662,0.696,214013,0.893,0.0,9,0.473,-2.963,1,0.076,97.954,4,0.573,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'social media pop', 'talent show', 'viral pop']",68.0,pop
The Sound of Pop,76,3jVtllWS5CFFWLQng8sKsr,Tinashe,0NIIxcxNHmOoyBx03SfTCD,Aquarius,2 On (feat. ScHoolboy Q),0.15,0.742,227000,0.595,0.0,9,0.111,-7.51,1,0.107,101.013,4,0.431,"['alternative r&b', 'dance pop', 'electropop', 'metropopolis', 'pop', 'pop dance', 'pop r&b', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",75.0,pop
